Date,topix,m10,asics,gree,mufj,tgas,toyota
2013/1/4,888.510 ,0.835 ,1378.000 ,1381.000 ,484.000 ,2030.000 ,4260.000 
2013/1/7,881.060 ,0.835 ,1343.000 ,1435.000 ,476.000 ,2050.000 ,4185.000 
2013/1/8,871.880 ,0.825 ,1333.000 ,1416.000 ,462.000 ,2070.000 ,4100.000 
2013/1/9,879.050 ,0.825 ,1366.000 ,1385.000 ,469.000 ,2075.000 ,4165.000 
2013/1/10,889.020 ,0.825 ,1370.000 ,1382.000 ,474.000 ,2065.000 ,4205.000 
2013/1/11,898.690 ,0.816 ,1396.000 ,1403.000 ,479.000 ,2065.000 ,4260.000 
2013/1/15,906.220 ,0.773 ,1334.000 ,1466.000 ,483.000 ,2115.000 ,4265.000 
2013/1/16,888.110 ,0.754 ,1295.000 ,1436.000 ,469.000 ,2140.000 ,4155.000 
2013/1/17,890.460 ,0.742 ,1287.000 ,1436.000 ,471.000 ,2170.000 ,4210.000 
2013/1/18,911.440 ,0.759 ,1307.000 ,1464.000 ,484.000 ,2170.000 ,4300.000 
2013/1/21,905.160 ,0.745 ,1275.000 ,1453.000 ,473.000 ,2165.000 ,4280.000 
2013/1/22,901.150 ,0.742 ,1272.000 ,1408.000 ,472.000 ,2150.000 ,4240.000 
2013/1/23,887.790 ,0.741 ,1293.000 ,1396.000 ,464.000 ,2155.000 ,4155.000 
2013/1/24,897.620 ,0.742 ,1283.000 ,1348.000 ,473.000 ,2145.000 ,4245.000 
2013/1/25,917.090 ,0.733 ,1286.000 ,1363.000 ,479.000 ,2170.000 ,4340.000 
2013/1/28,913.780 ,0.758 ,1292.000 ,1373.000 ,479.000 ,2175.000 ,4315.000 
2013/1/29,920.760 ,0.777 ,1290.000 ,1366.000 ,497.000 ,2175.000 ,4325.000 
2013/1/30,934.670 ,0.787 ,1302.000 ,1361.000 ,503.000 ,2150.000 ,4365.000 
2013/1/31,940.250 ,0.763 ,1301.000 ,1360.000 ,521.000 ,2155.000 ,4365.000 
2013/2/1,942.650 ,0.783 ,1284.000 ,1381.000 ,515.000 ,2160.000 ,4495.000 
2013/2/4,955.750 ,0.817 ,1296.000 ,1368.000 ,530.000 ,2135.000 ,4595.000 
2013/2/5,939.700 ,0.803 ,1295.000 ,1355.000 ,520.000 ,2115.000 ,4540.000 
2013/2/6,968.820 ,0.784 ,1295.000 ,1405.000 ,533.000 ,2190.000 ,4815.000 
2013/2/7,969.180 ,0.775 ,1265.000 ,1396.000 ,538.000 ,2175.000 ,4815.000 
2013/2/8,957.350 ,0.769 ,1259.000 ,1387.000 ,531.000 ,2170.000 ,4895.000 
2013/2/12,968.500 ,0.760 ,1275.000 ,1357.000 ,543.000 ,2200.000 ,4920.000 
2013/2/13,957.020 ,0.751 ,1268.000 ,1150.000 ,533.000 ,2170.000 ,4830.000 
2013/2/14,954.880 ,0.779 ,1304.000 ,1154.000 ,523.000 ,2155.000 ,4815.000 
2013/2/15,942.410 ,0.761 ,1366.000 ,1086.000 ,508.000 ,2170.000 ,4725.000 
2013/2/18,962.690 ,0.757 ,1343.000 ,1124.000 ,533.000 ,2230.000 ,4785.000 
2013/2/19,963.610 ,0.754 ,1408.000 ,1154.000 ,534.000 ,2210.000 ,4740.000 
2013/2/20,973.700 ,0.759 ,1451.000 ,1142.000 ,533.000 ,2285.000 ,4820.000 
2013/2/21,962.860 ,0.754 ,1408.000 ,1148.000 ,520.000 ,2240.000 ,4765.000 
2013/2/22,963.480 ,0.744 ,1403.000 ,1178.000 ,513.000 ,2245.000 ,4730.000 
2013/2/25,980.700 ,0.724 ,1439.000 ,1173.000 ,527.000 ,2265.000 ,4795.000 
2013/2/26,966.770 ,0.700 ,1433.000 ,1167.000 ,519.000 ,2235.000 ,4715.000 
2013/2/27,953.720 ,0.686 ,1429.000 ,1152.000 ,505.000 ,2210.000 ,4605.000 
2013/2/28,975.660 ,0.681 ,1456.000 ,1128.000 ,513.000 ,2240.000 ,4765.000 
2013/3/1,984.330 ,0.678 ,1439.000 ,1121.000 ,523.000 ,2330.000 ,4750.000 
2013/3/4,992.250 ,0.630 ,1477.000 ,1116.000 ,531.000 ,2395.000 ,4745.000 
2013/3/5,988.620 ,0.656 ,1458.000 ,1115.000 ,527.000 ,2370.000 ,4735.000 
2013/3/6,1003.220 ,0.662 ,1470.000 ,1117.000 ,535.000 ,2405.000 ,4830.000 
2013/3/7,1004.350 ,0.666 ,1469.000 ,1114.000 ,527.000 ,2440.000 ,4835.000 
