DATE,IIP_YOY
1/1/13,-5.6
2/1/13,-6.1
3/1/13,10.4
4/1/13,-2.9
5/1/13,-2.1
6/1/13,-0.8
7/1/13,1.1
8/1/13,-0.2
9/1/13,1.4
10/1/13,-0.1
11/1/13,0.0
12/1/13,7.1
1/1/14,-3.5
2/1/14,-5.3
3/1/14,14.3
4/1/14,-5.5
5/1/14,-3.9
6/1/14,-2.1
7/1/14,-0.6
8/1/14,-2.5
9/1/14,0.9
10/1/14,-0.8
11/1/14,-2.4
12/1/14,6.4
1/1/15,-4.8
2/1/15,-5.8
3/1/15,11.1
4/1/15,-3.2
5/1/15,-3.6
6/1/15,-0.1
7/1/15,1.1
8/1/15,-0.9
9/1/15,1.1
10/1/15,0.2
11/1/15,-1.5
12/1/15,6.3
1/1/16,-4.3
2/1/16,-3.2
3/1/16,11.4
4/1/16,-2.9
5/1/16,-3.4
6/1/16,-0.1
7/1/16,0.7
8/1/16,-0.1
9/1/16,1.7
10/1/16,0.1
11/1/16,0.0
12/1/16,7.2
1/1/17,-3.8
2/1/17,-4.7
3/1/17,11.7
4/1/17,-1.6
5/1/17,-1.3
6/1/17,1.2
7/1/17,2.0
8/1/17,0.7
9/1/17,2.6
10/1/17,0.9
11/1/17,1.3
12/1/17,9.1
1/1/18,-2.2
2/1/18,-3.3
3/1/18,13.0
4/1/18,-0.4
5/1/18,0.1
6/1/18,2.2
7/1/18,3.2
8/1/18,2.3
9/1/18,2.2
10/1/18,3.7
11/1/18,3.0
12/1/18,9.4
1/1/19,-0.9
2/1/19,-2.4
3/1/19,13.5
4/1/19,0.8
5/1/19,0.6
6/1/19,2.5
7/1/19,4.2
8/1/19,2.5
9/1/19,7.2
10/1/19,-0.2
11/1/19,0.9
12/1/19,8.0
1/1/20,-2.3
2/1/20,-3.5
3/1/20,7.4
4/1/20,-12.8
5/1/20,-16.9
6/1/20,-6.0
7/1/20,-5.1
8/1/20,-6.2
9/1/20,-2.0
10/1/20,-1.6
